Site,Date,ID,Length,Length In,WT,LOGLEN,LOGWT,Birthday,Age,Annuli,TotalLength,Fto1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,Ax-M,Sum,O/E,O/E %,ONE L,TWO L,THREE L,FOUR L,FIVE L,SIX L,SEVEN L,EIGHT L
Wateree,6/4/2015,WTP 01,262,10,224.2,2.42,2.35,4/1/2007,8.18,8,4299.8363,2175.7509,524.8543,408.3969,368.3531,287.1237,268.3282,132.5443,94.8683,39.6166,4299.8363,0,0.00%,125,159,185,209,227,245,253,259
Wateree,6/4/2015,WTP 04,253,10,216.4,2.40,2.34,4/1/2007,8.18,8,4706.8461,1677.1046,662.9661,389.3071,381.0354,279.1774,413.3038,389.3071,322.2732,192.3714,4706.8461,0,0.00%,80,118,140,162,178,201,224,242
Wateree,6/4/2015,WTP 07,291,11,318.6,2.46,2.50,4/1/2007,8.18,8,5503.122,1843.9631,690.73,503.1779,357.2394,794.4054,550.8575,378.8087,306.6464,77.2936,5503.122,0,0.00%,87,125,153,173,218,248,270,287
Wateree,6/30/2015,WTP39,276,11,299.1,2.44,2.48,4/1/2007,8.25,8,4882.8832,1943.5925,442.9447,410.5508,419.142,314.3565,321.9938,373.4488,324.7768,332.0773,4882.8832,0,0.00%,100,127,151,176,195,214,237,256
Wateree,5/5/2015,WTP 05,301,12,399.7,2.48,2.60,4/1/2009,6.10,6,5350.6714,1993.3369,765.2059,557.096,622.7295,539.7666,512.57,,,359.9665,5350.6714,0,0.00%,102,147,180,217,249,280,,
Wateree,5/5/2015,WTP 06,283,11,339,2.45,2.53,4/1/2009,6.10,6,4144.3369,2282.6826,459.9304,456.71,436.1468,235.2275,190.683,,,82.9566,4144.3369,0,0.00%,149,182,215,246,263,277,,
Wateree,6/4/2015,WTP 08,278,11,322.5,2.44,2.51,4/1/2009,6.18,6,5070.9407,2419.161,681.2048,555.964,539.3329,408,314.8714,,,152.4066,5070.9407,0,0.00%,124,164,196,227,251,269,,
Wateree,6/4/2015,WTP 11,262,10,252.2,2.42,2.40,4/1/2009,6.18,6,4829.4074,2099.7257,721.2489,533.1904,516.9758,379.9474,554.148,,,24.1712,4829.4074,0,0.00%,105,146,177,207,229,261,,
Wateree,6/4/2015,WTP 12,200,8,107.8,2.30,2.03,4/1/2009,6.18,6,4360.8238,1831.3274,853.6252,449.0791,402.4922,325.3859,381.366,,,117.548,4360.8238,0,0.00%,75,117,139,159,175,194,,
Wateree,6/30/2015,WTP 06,253,10,213.3,2.40,2.33,4/1/2009,6.25,6,5091.8547,2446.8821,797.2779,652.3465,511.269,366.1967,267.9254,,,49.9571,5091.8547,0,0.00%,113,155,190,217,236,250,,
Wateree,6/30/2015,WTP 09,263,10,255.9,2.42,2.41,4/1/2009,6.25,6,5120.3664,2254.9545,852.1268,550.2363,631.1418,370.3026,399.89,,,61.7144,5120.3664,0,0.00%,107,153,183,218,238,260,,
Wateree,6/30/2015,WTP51,271,11,302,2.43,2.48,4/1/2009,6.25,6,5214.0138,2313.605,736.8039,630,600,394.8164,337.3366,,,201.4519,5214.0138,0,0.00%,111,152,187,220,241,260,,
Wateree,6/30/2015,WTP55,267,11,275.8,2.43,2.44,4/1/2009,6.25,6,5072.9281,2131.3095,734.6509,681.6011,554.7324,448.8786,368.402,,,153.3536,5072.9281,0,0.00%,103,144,182,213,238,258,,
Wateree,6/30/2015,WTP65,287,11,343.2,2.46,2.54,4/1/2009,6.25,6,4862.7474,2180.2138,585.6996,662.8575,475.0621,421.9668,365.4094,,,171.5382,4862.7474,0,0.00%,120,156,198,227,254,276,,
Wateree,5/5/2015,WTP 01,187,7,92.3,2.27,1.97,4/1/2010,5.10,5,4240.8796,2180.2138,717.2447,624.7207,381.4132,317.32,,,,19.9672,4240.8796,0,0.00%,88,123,153,171,186,,,
Wateree,5/5/2015,WTP 02,228,9,188.6,2.36,2.28,4/1/2010,5.10,5,4283.1092,1606.6674,722.5206,592.7563,429.0734,389.3071,,,,542.7844,4283.1092,0,0.00%,75,117,150,175,197,,,
Wateree,5/5/2015,WTP 07,225,9,155.6,2.35,2.19,4/1/2010,5.10,5,4674.5545,2148.3771,438.9852,524.8543,841.7553,435.4033,,,,285.1793,4674.5545,0,0.00%,95,117,144,188,210,,,
Wateree,5/5/2015,WTP 08,167,7,62.2,2.22,1.79,4/1/2010,5.10,5,3812.9516,2083.6938,738.2195,342.4734,385.6838,240.075,,,,22.8061,3812.9516,0,0.00%,84,119,136,154,166,,,
Wateree,6/4/2015,WTP 02,262,10,242.8,2.42,2.39,4/1/2010,5.18,5,4662.5058,2293.421,817.8508,647.611,534.1348,355.3702,,,,14.118,4662.5058,0,0.00%,121,169,208,240,261,,,
Wateree,6/4/2015,WTP 03,264,10,267.7,2.42,2.43,4/1/2010,5.18,5,4524.9429,2258.7829,845.6595,435.6926,519.2341,323.1099,,,,142.4639,4524.9429,0,0.00%,124,176,203,235,255,,,
Wateree,6/4/2015,WTP 05,241,9,199.1,2.38,2.30,4/1/2010,5.18,5,4138.3866,1542.6536,854.0258,567.3412,502.8916,521.8621,,,,149.6123,4138.3866,0,0.00%,80,133,168,199,232,,,
Wateree,6/4/2015,WTP 06,193,8,100.1,2.29,2.00,4/1/2010,5.18,5,4211.0469,2453.6186,672.5355,366.5897,298.3756,307.4671,,,,112.4604,4211.0469,0,0.00%,106,139,157,172,187,,,
Wateree,6/4/2015,WTP 10,223,9,149.6,2.35,2.17,4/1/2010,5.18,5,4674.2773,2117.116,818.4009,587.6938,386.4298,638.6267,,,,126.0101,4674.2773,0,0.00%,92,134,164,184,217,,,
Wateree,6/4/2015,WTP 13,229,9,172.6,2.36,2.24,4/1/2010,5.18,5,3976.4839,1612.2258,846.9144,564.9248,446.7885,427.8551,,,,77.7753,3976.4839,0,0.00%,83,135,170,198,224,,,
Wateree,6/30/2015,WTP 01,210,8,196.3,2.32,2.29,4/1/2010,5.25,5,4369.8169,2335.1103,810.2,474.1519,312.9217,384,,,,53.433,4369.8169,0,0.00%,105,147,171,187,207,,,
Wateree,6/30/2015,WTP 02,201,8,128.8,2.30,2.11,4/1/2010,5.25,5,4077.9215,2106.7093,567.8486,429.4089,367.2274,439.0262,,,,167.7011,4077.9215,0,0.00%,96,126,149,169,192,,,
Wateree,6/30/2015,WTP 03,222,9,153.1,2.35,2.18,4/1/2010,5.25,5,4041.1414,2210.4932,531.161,443.8784,330.4905,451.1186,,,,73.9997,4041.1414,0,0.00%,114,145,172,191,218,,,
Wateree,6/30/2015,WTP 04,211,8,146.5,2.32,2.17,4/1/2010,5.25,5,4508.4561,2334.6246,628.8561,486.7402,314.8714,459.9696,,,,283.3942,4508.4561,0,0.00%,101,133,158,174,197,,,
Wateree,6/30/2015,WTP 05,244,10,223.9,2.39,2.35,4/1/2010,5.25,5,4417.9928,2083.9962,725.6032,507.5943,566.1978,409.5852,,,,125.0161,4417.9928,0,0.00%,107,149,179,213,237,,,
Wateree,6/30/2015,WTP 07,210,8,135,2.32,2.13,4/1/2010,5.25,5,4275.4537,2078.6342,612.9405,534,343.6277,519.2341,,,,187.0172,4275.4537,0,0.00%,94,126,154,173,200,,,
Wateree,6/30/2015,WTP 08,207,8,132.5,2.32,2.12,4/1/2010,5.25,5,4010.586,2252.6784,563.1696,422.4358,320.7055,290.3033,,,,161.2934,4010.586,0,0.00%,109,140,164,182,198,,,
Wateree,6/30/2015,WTP 10,230,9,176.2,2.36,2.25,4/1/2010,5.25,5,4143.0293,2009.8657,679.0611,497.1318,386.9884,483.177,,,,86.8053,4143.0293,0,0.00%,103,144,173,196,225,,,
Wateree,6/30/2015,WTP 11,200,8,130.5,2.30,2.12,4/1/2010,5.25,5,4189.3322,2219.3513,548.6638,483.6238,364.9658,394.4059,,,,178.3216,4189.3322,0,0.00%,98,127,152,170,191,,,
Wateree,6/30/2015,WTP 12,213,8,140.9,2.33,2.15,4/1/2010,5.25,5,4453.1683,2538.6879,542.8591,413.7826,352.1647,315.7847,,,,289.8893,4453.1683,0,0.00%,114,142,164,182,198,,,
Wateree,6/30/2015,WTP 13,187,7,97.4,2.27,1.99,4/1/2010,5.25,5,4128.6279,2071.469,722.4957,496.5884,311.5381,343.6277,,,,182.909,4128.6279,0,0.00%,86,121,146,161,178,,,
Wateree,6/30/2015,WTP 15,237,9,204,2.37,2.31,4/1/2010,5.25,5,4614.5656,2346.3913,737.2435,465.9957,489.2484,491.0112,,,,84.6755,4614.5656,0,0.00%,113,153,179,205,232,,,
Wateree,6/30/2015,WTP 16,222,9,172.9,2.35,2.24,4/1/2010,5.25,5,4091.3577,2081.7925,698.2722,404.1435,315.3284,427.0129,,,,164.8082,4091.3577,0,0.00%,105,146,169,188,212,,,
Wateree,6/30/2015,WTP 17,219,9,156.8,2.34,2.20,4/1/2010,5.25,5,4292.7977,1933.3411,918.3333,449.8,364.0275,470.6846,,,,156.6112,4292.7977,0,0.00%,90,140,165,185,210,,,
Wateree,6/30/2015,WTP 18,213,8,57.2,2.33,1.76,4/1/2010,5.25,5,4045.7622,1998.2522,588.1836,461.3762,360.4997,521.8621,,,,115.5884,4045.76,0.00,0.00%,97,130,156,177,206,,,
Wateree,6/30/2015,WTP 20,195,8,108,2.29,2.03,4/1/2010,5.25,5,3852.8457,2065.2293,595.6946,365.0151,250.711,378.3808,,,,197.8149,3852.85,0,0.00%,97,130,150,163,184,,,
Wateree,6/30/2015,WTP 22,206,8,132.4,2.31,2.12,4/1/2010,5.25,5,4282.8612,2183.0932,754.6893,477.8954,351.5508,370.6427,,,,144.9898,4282.86,0,0.00%,97,136,161,179,198,,,
Wateree,6/30/2015,WTP 23,208,8,131.3,2.32,2.12,4/1/2010,5.25,5,4538.5747,2105.1109,870.8065,505.0347,470.034,509.5763,,,,78.0123,4538.57,0,0.00%,88,131,156,179,204,,,
Wateree,6/30/2015,WTP 24,206,8,128.8,2.31,2.11,4/1/2010,5.25,5,4462.0802,2172.4972,584.4998,675.8461,321.6022,339.6763,,,,367.9586,4462.08,0,0.00%,92,121,155,171,188,,,
Wateree,6/30/2015,WTP 26,208,8,139.5,2.32,2.14,4/1/2010,5.25,5,4412.6115,2154.0334,666.1081,543.1243,544.8119,371.9032,,,,132.6306,4412.61,0,0.00%,93,127,155,182,201,,,
Wateree,6/30/2015,WTP 31,215,8,140.5,2.33,2.15,4/1/2010,5.25,5,4195.8365,2131.3095,773.0692,412.0825,359.4496,373.786,,,,146.1397,4195.84,0,0.00%,101,144,167,186,207,,,
Wateree,6/30/2015,WTP 34,209,8,143.4,2.32,2.16,4/1/2010,5.25,5,3995.09,1886.9595,676.3254,434.6999,452.3538,447.7946,,,,96.9568,3995.09,0,0.00%,90,128,153,178,204,,,
Wateree,6/30/2015,WTP 37,199,8,117,2.30,2.07,4/1/2010,5.25,5,4299.2585,2199.2844,714.6048,394.4515,390,448.3971,,,,152.5207,4299.26,0,0.00%,94,130,149,169,191,,,
Wateree,6/30/2015,WTP 43,208,8,142.5,2.32,2.15,4/1/2010,5.25,5,4710.0955,2206.4669,739.8513,600.5398,318.9608,543.7205,,,,300.5562,4710.10,0,0.00%,89,124,153,168,194,,,
Wateree,6/30/2015,WTP 44,213,8,145.5,2.33,2.16,4/1/2010,5.25,5,4094.911,1854.4757,789.5644,359.0487,356.6343,460.1261,,,,275.0618,4094.91,0,0.00%,88,132,152,172,198,,,
Wateree,6/30/2015,WTP 57,201,8,130.1,2.30,2.11,4/1/2010,5.25,5,4253.6446,2125.1353,700.5883,416.4277,304.6441,512.6753,,,,194.1739,4253.64,0,0.00%,92,128,149,165,191,,,
Wateree,6/30/2015,WTP 64,215,8,142.4,2.33,2.15,4/1/2010,5.25,5,3971.1117,2123.6356,588.5202,344.308,323.1099,378.9512,,,,212.5868,3971.11,0,0.00%,107,142,162,181,203,,,
Wateree,6/30/2015,WTP 76,201,8,118.3,2.30,2.07,4/1/2010,5.25,5,3845.7192,2072.9544,653.4493,305.9412,291.2937,421.4119,,,,100.6687,3845.72,0,0.00%,101,138,155,172,195,,,
Wateree,6/30/2015,WTP 78,212,8,141,2.33,2.15,4/1/2010,5.25,5,3969.6111,1827.0468,672.9636,531.5336,314.8714,433.2066,,,,189.9891,3969.61,0,0.00%,89,128,158,176,201,,,
Wateree,6/30/2015,WTP21,242,10,218,2.38,2.34,4/1/2010,5.25,5,4703.8201,2492.7744,767.6484,544.8119,482.9907,378.8087,,,,36.786,4703.8201,0,0.00%,121,163,193,219,240,,,
Wateree,6/30/2015,WTP28,242,10,209.1,2.38,2.32,4/1/2010,5.25,5,4560.0987,2170.8478,797.797,387.3603,431.0406,604.1258,,,,168.9272,4560.0987,0,0.00%,107,152,174,198,232,,,
Wateree,6/30/2015,WTP74,267,11,283.2,2.43,2.45,4/1/2010,5.25,5,4515.9756,2135.9073,582.371,544.7128,491.1578,434.6999,,,,327.1268,4515.9756,0,0.00%,118,154,188,219,246,,,
Wateree,5/5/2015,WTP 03,180,7,80,2.26,1.90,4/1/2011,4.10,4,3689.4731,2079.725,784.6248,417.8516,314.3565,,,,,92.9152,3689.4731,0,0.00%,94,136,158,175,,,,
Wateree,6/30/2015,WTP 14,195,8,108.2,2.29,2.03,4/1/2012,3.25,3,3584.2104,1904.8748,826.6075,551.5433,,,,,,301.1848,3584.2104,0,0.00%,96,145,177,,,,,
Wateree,5/5/2015,WTP 04,165,6,63.4,2.22,1.80,4/1/2013,2.09,2,3316.0953,2098.3279,1133.1743,,,,,,,84.5931,3316.0953,0,0.00%,98,160,,,,,,
Wateree,6/30/2015,WTP62,178,7,87.8,2.25,1.94,4/1/2013,2.25,2,3604.0228,2184.4697,1100.6362,,,,,,,318.9169,3604.0228,0,0.00%,101,161,,,,,,
Wateree,5/5/2015,WTP 09,124,5,22.3,2.09,1.35,4/1/2014,1.09,1,2451.123,2327.536,,,,,,,,123.587,2451.123,0,0.00%,117,,,,,,,
Wateree,6/4/2015,WTP 09,133,5,29,2.12,1.46,4/1/2014,1.18,1,2588.9426,2448.9777,,,,,,,,139.9649,2588.9426,0,0.00%,125,,,,,,,
Murray,3/13/2016,A4,271,11,300,2.432969291,2.477121255,4/1/2009,6.95,7,5079.8567,1739.9586,756.8567,510.5291,421.5827,397.1347,414.478,429.3251,,409.9918,5079.8567,0,0.00%,75,119,149,174,197,222,247,
Murray,6/8/2015,WTP 37,260,10,277.9,2.414973348,2.443888547,4/1/2009,6.19,6,4795.2952,1882.1743,935.4806,679.2466,356.8865,359.4496,488.954,,,93.1036,4795.2952,0,0.00%,85,141,182,204,225,254,,
Murray,6/8/2015,WTP 02,257,10,306.2,2.409933123,2.486005186,4/1/2010,5.19,5,4679.373,1968.0823,851.4294,719.1996,498.0361,475.0621,,,,167.5635,4679.373,0,0.00%,92,144,188,218,247,,,
Murray,6/8/2015,WTP 15,271,11,213.5,2.432969291,2.329397879,4/1/2010,5.19,5,5178.9489,2063.6947,1352.2515,715.2091,612,371.4674,,,,64.3262,5178.9489,0,0.00%,91,169,211,246,267,,,
Murray,6/8/2015,WTP 16,212,8,131.5,2.326335861,2.118925753,4/1/2010,5.19,5,4079.3823,1903.0596,641.3548,489.5794,457.3008,459.2254,,,,128.8623,4079.3823,0,0.00%,84,122,151,177,204,,,
Murray,6/8/2015,WTP 23,197,8,105.6,2.294466226,2.023663918,4/1/2010,5.19,5,4218.1195,1899.7652,783.5228,482.9907,303.2227,595.6946,,,,152.9235,4218.1195,0,0.00%,74,115,141,157,189,,,
Murray,6/8/2015,WTP 32,226,9,175.6,2.354108439,2.244524512,4/1/2010,5.19,5,4047.6215,1156.32,820.0927,308.519,341.526,419.3567,,,,1001.8071,4047.6215,0,0.00%,45,96,116,137,163,,,
Murray,6/8/2015,WTP 36,258,10,275.8,2.411619706,2.440594262,4/1/2010,5.19,5,4546.5631,1897.9168,815.9338,649.3597,727.4861,351.602,,,,104.2647,4546.5631,0,0.00%,92,143,184,229,251,,,
Murray,3/13/2016,A2,271,11,314,2.432969291,2.496929648,4/1/2011,4.95,5,4627.101,2208.758,679.0611,472.6309,665.4592,349.0845,,,,252.1073,4627.101,0,0.00%,115,159,189,232,255,,,
Murray,6/8/2015,WTP 06,233,9,180.4,2.367355921,2.256236533,4/1/2011,4.19,4,3960.1136,2000.089,592.7563,299.88,814.6091,,,,,252.7792,3960.1136,0,0.00%,104,143,163,216,,,,
Murray,6/8/2015,WTP 07,230,9,184.7,2.361727836,2.266466895,4/1/2011,4.19,4,4534.7062,2470.383,903.274,601.7076,440.3362,,,,,119.0054,4534.7062,0,0.00%,113,164,198,223,,,,
Murray,6/8/2015,WTP 08,257,10,268.0,2.409933123,2.428134794,4/1/2011,4.19,4,4310.8612,1827.2832,1135.396,780,406.6743,,,,,161.5077,4310.8612,0,0.00%,93,168,219,246,,,,
Murray,6/8/2015,WTP 10,220,9,145.1,2.342422681,2.161667412,4/1/2011,4.19,4,3927.1822,2131.4192,888.3648,523.4119,375.8989,,,,,8.0874,3927.1822,0,0.00%,107,163,196,219,,,,
Murray,6/8/2015,WTP 25,225,9,175.8,2.352182518,2.245018871,4/1/2011,4.19,4,4026.7332,2354.1189,679.5116,488.4752,340.9457,,,,,163.6818,4026.7332,0,0.00%,120,163,193,215,,,,
Murray,6/8/2015,WTP 26,223,9,156.7,2.348304863,2.195068996,4/1/2011,4.19,4,4313.8122,2504.7898,835.3802,517.7065,396.2272,,,,,59.7085,4313.8122,0,0.00%,118,166,197,220,,,,
Murray,6/8/2015,WTP 28,223,9,186.3,2.348304863,2.270212855,4/1/2011,4.19,4,4582.9357,2188.0265,1053.423,696.5429,542.6601,,,,,102.2832,4582.9357,0,0.00%,92,150,188,217,,,,
Murray,6/8/2015,WTP 33,191,8,106.5,2.281033367,2.027349608,4/1/2011,4.19,4,3905.5391,2334.4627,753.233,436.8066,346.6526,,,,,34.3842,3905.5391,0,0.00%,103,145,170,189,,,,
Murray,6/8/2015,WTP 34,203,8,108.9,2.307496038,2.03702788,4/1/2011,4.19,4,4026.7332,1884.3535,826.9776,515.7558,539.3663,,,,,260.28,4026.7332,0,0.00%,80,128,157,188,,,,
Murray,3/9/2016,A5,248,10,232.4,2.394451681,2.366236124,4/1/2012,3.94,4,4171.3422,2230.6609,714.0756,587.9388,335.6784,,,,,302.9885,4171.3422,0,0.00%,120,167,206,228,,,,
Murray,3/9/2016,B6,280,11,392.1,2.447158031,2.593396842,4/1/2012,3.94,4,4553.0829,2121.7021,793.3852,561.7295,640.6528,,,,,435.6133,4553.0829,0,0.00%,116,169,207,251,,,,
Murray,3/9/2016,C2,252,10,276.1,2.401400541,2.441066407,4/1/2012,3.94,4,4407.5299,2034.7078,901.7782,668.4819,590.4744,,,,,212.0876,4407.5299,0,0.00%,101,159,201,239,,,,
Murray,3/13/2016,A1,248,10,247,2.394451681,2.392696953,4/1/2012,3.95,4,4501.7197,1993.7432,1317.2699,548.4998,410.8576,,,,,231.3492,4501.7197,0,0.00%,94,175,209,234,,,,
Murray,6/8/2015,WTP 11,202,8,128.6,2.305351369,2.109240969,4/1/2012,3.19,3,3763.0764,2280.2684,556.223,644.5464,,,,,,282.0386,3763.0764,0,0.00%,112,145,185,,,,,
Murray,6/8/2015,WTP 13,227,9,182.5,2.356025857,2.261262869,4/1/2012,3.19,3,4367.015,2235.8998,1160.5464,839.0781,,,,,,131.4907,4367.015,0,0.00%,103,170,219,,,,,
